Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 99.0.4844.83,,,2022-03-29 18:05:28,2022-03-29 18:05:50,22.617s,PASSED
,,,,,,,
Test Cases/UnsuccessfulLogin,Chrome 99.0.4844.83,,,2022-03-29 18:05:28,2022-03-29 18:05:42,13.808s,PASSED
"openBrowser("""")",Chrome 99.0.4844.83,,,2022-03-29 18:05:28,2022-03-29 18:05:30,1.843s,PASSED
"navigateToUrl(""https://demo-store.katalon.com/"")",Chrome 99.0.4844.83,,,2022-03-29 18:05:30,2022-03-29 18:05:34,4.127s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/svg_Zack Market_svg-inline--fa fa-user fa-w-14""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:34,2022-03-29 18:05:35,0.497s,PASSED
"setText(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_Email_email""), ""erika@"")",Chrome 99.0.4844.83,,,2022-03-29 18:05:35,2022-03-29 18:05:36,1.012s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/div_Emailinvalid emailPasswordDont you have_fe3a1f""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:36,2022-03-29 18:05:36,0.415s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/div_invalid email""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:36,2022-03-29 18:05:36,0.507s,PASSED
"setText(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_Email_email""), ""erika1231@mailinator.com"")",Chrome 99.0.4844.83,,,2022-03-29 18:05:37,2022-03-29 18:05:37,0.904s,PASSED
"setEncryptedText(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_Password_password""), ""4nvbrPglk7k="")",Chrome 99.0.4844.83,,,2022-03-29 18:05:37,2022-03-29 18:05:38,0.640s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_password has to be 6-15 letter_button_3a5f49""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:38,2022-03-29 18:05:38,0.304s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/div_password has to be 6-15 letter""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:38,2022-03-29 18:05:39,0.492s,PASSED
"setEncryptedText(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_Password_password""), ""p4y+y39Ir5MSxNs1t5lTZQ=="")",Chrome 99.0.4844.83,,,2022-03-29 18:05:39,2022-03-29 18:05:39,0.402s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_password has to be 6-15 letter_button_3a5f49""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:39,2022-03-29 18:05:40,0.599s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/img_Email_loginsignin_login_image__3EzyQ""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:40,2022-03-29 18:05:41,0.675s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/input_password has to be 6-15 letter_button_3a5f49""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:41,2022-03-29 18:05:41,0.378s,PASSED
"click(findTestObject(""Object Repository/UnsuccessfulLogin/Page_Zack Market/img_Email_loginsignin_login_image__3EzyQ""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:41,2022-03-29 18:05:42,0.629s,PASSED
closeBrowser(),Chrome 99.0.4844.83,,,2022-03-29 18:05:42,2022-03-29 18:05:42,0.094s,PASSED
,,,,,,,
Test Cases/SuccessfulLogin,Chrome 99.0.4844.83,,,2022-03-29 18:05:42,2022-03-29 18:05:50,8.640s,PASSED
"openBrowser("""")",Chrome 99.0.4844.83,,,2022-03-29 18:05:42,2022-03-29 18:05:43,1.121s,PASSED
"navigateToUrl(""https://demo-store.katalon.com/"")",Chrome 99.0.4844.83,,,2022-03-29 18:05:43,2022-03-29 18:05:47,4.214s,PASSED
"click(findTestObject(""Object Repository/SuccessfulLogin/Page_Zack Market/div_Zack Market_userHeader_tag__2vbdQ""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:47,2022-03-29 18:05:48,0.343s,PASSED
"setText(findTestObject(""Object Repository/SuccessfulLogin/Page_Zack Market/input_Email_email""), ""erika1231@mailinator.com"")",Chrome 99.0.4844.83,,,2022-03-29 18:05:48,2022-03-29 18:05:48,0.899s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SuccessfulLogin/Page_Zack Market/input_Password_password""), ""0cU2R0tWEjl49ICU6OTr2A=="")",Chrome 99.0.4844.83,,,2022-03-29 18:05:48,2022-03-29 18:05:49,0.313s,PASSED
"click(findTestObject(""Object Repository/SuccessfulLogin/Page_Zack Market/input_Password_button_btn__2lzmo""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:49,2022-03-29 18:05:49,0.305s,PASSED
"click(findTestObject(""Object Repository/SuccessfulLogin/Page_Zack Market/div_Zack Market""))",Chrome 99.0.4844.83,,,2022-03-29 18:05:49,2022-03-29 18:05:50,1.107s,PASSED
closeBrowser(),Chrome 99.0.4844.83,,,2022-03-29 18:05:50,2022-03-29 18:05:50,0.139s,PASSED
